Beer	Fmax1	Fmax2	Fmax3	Fmax4	Fmax5	Fmax6	Fmax7	Fmax8
LTMRousse50x	3030.87758576698	6076.07283924961	2142.18808564592	1230.55344373639	1093.17710382501	803.812784541011	510.473005243576	188.768503122226
AlchimisteRousse50x	2914.98602966727	3871.0903114802	1175.27053652696	658.917735084311	520.195570968685	359.759947091465	247.293113545808	128.839372459545
RDBBunker50x	1897.83036235841	4189.81394931847	2924.98594457867	326.959494071654	244.176016204578	168.429188035355	92.2378689342544	196.831082899549
LTMGose50x	4614.28591042712	3723.73081512463	320.344832606179	269.615312305374	275.639305014037	429.259189444488	150.28257009862	303.074300924689
BDMExploite100x	757.755437147207	5733.55442616305	4953.64724301881	2389.12633124765	1637.23581726043	987.937506180415	772.741217933822	0
HelmStViateur100x	159.2459300988	3830.43435033785	6634.94041751105	1398.52429267208	863.150422211469	301.580283262218	502.675770466669	75.1567655538808
DDCPenombre100x	2251.45948547506	4679.14887829312	2692.6194409235	1120.89656537424	670.274012347547	323.250286258928	341.292416446144	89.2793499820721
BDMNectareus100x	3696.32887434308	5385.65560568514	1846.33416834178	1203.95841969604	1059.86343576919	559.678902097397	550.442951074519	227.909599377974
BeneluxCuda100x	3554.62654482323	5815.20830714341	1648.37511084394	892.616889422086	712.126498987924	653.826396869342	316.726556054656	277.794542891362
BeneluxSessionPrintemps50x	2317.33706265386	3927.44002863061	721.204726430575	291.30919768015	200.174188002015	209.906249975799	86.4334369561783	157.670642543958
BeneluxCongo50x	3414.01666661151	5267.71601106268	1111.98295581372	551.638627535412	392.392482869982	421.045211401939	184.477176651114	203.88803584912
BorealeIPA50x	2774.32963152915	4704.15161994022	1230.48164598802	520.963971126979	387.873227211382	228.590271156883	180.959336060135	138.908605357662
DDCEquinoxeduPrintemps50x	3499.6180068682	6803.97880901553	4891.22483601924	1648.220870078	1730.42100130359	742.248341380742	916.286519717269	452.551967568644
BeneluxEnfantRoi50x	3241.95770102172	4207.29920944873	1101.36427236577	299.124493124943	221.456658072395	342.443387547345	114.247716939585	201.307523148735
BeneluxGaia50x	2285.24304844406	2351.0187342457	1481.32188891028	240.426864728975	100.128567330234	126.309362955646	37.9749722869184	103.868548270213
PitCaribouBonneAventure50x	2503.9695548166	4914.70869483045	2192.07799209258	1399.24665787947	1213.39621531405	626.319189981473	627.086386032903	157.625674008716
BorealeBlanche50x	2435.6553190178	3545.1676789859	779.106517370664	273.174147377045	134.383148469813	92.4302156777989	63.4427745123466	110.524558722271
JukeboxJazz50x	2649.46010419704	3898.08592668844	1199.00636736344	803.26656763209	688.952049288082	518.949442972516	244.557236401755	290.592372566759
LTMPorterBaltique100x	905.56798682359	4257.80238635017	2733.12719953851	1987.97532788908	1466.55478013146	975.957946056881	797.486663577184	0
LDFAmbree50x	8325.87415935839	5758.48730145995	0	760.799357296292	724.283229018066	818.183486567883	357.271403880641	267.186903831959
PitCaribouBlanchedePrato50x	2694.76846744158	3144.55282237635	1170.36957225431	310.574251731929	183.391829126084	320.259449682096	71.1006390077546	110.195002757142
